,Open,Close,Volume,Quote-Asset-Volume,Number-Of-Trades,Taker-Buy-Base-Asset-Volume,Date
0,35052.97,33513.42,2290.017245,76978314.5320553,35199,1024.932091,2021-07-01
1,33517.99,33810.38,2067.782193,68822139.69410346,31324,934.880535,2021-07-02
2,33788.75,34681.43,1636.163798,56292044.04712406,26629,653.974646,2021-07-03
3,34685.34,35290.65,1306.070398,46142792.76451367,23008,663.827796,2021-07-04
4,35280.25,33743.42,2082.537602,70819358.3396932,33860,969.151893,2021-07-05
5,33708.5,34225.52,1707.63752,58352602.9977764,33746,876.085216,2021-07-06
6,34208.61,33868.46,1699.225509,58800743.78196873,37126,795.763107,2021-07-07
7,33863.93,32870.81,2457.235259,80847664.28284597,45959,1227.903892,2021-07-08
8,32868.08,33806.64,1547.332259,51237947.84971557,44628,782.472901,2021-07-09
9,33805.04,33503.04,1153.012134,38826334.88164352,39371,564.974718,2021-07-10
10,33501.16,34244.09,1197.253966,40600315.90203328,38568,521.200802,2021-07-11
11,34251.44,33089.77,1837.315304,61390007.22488983,47290,884.418351,2021-07-12
12,33090.5,32727.05,1996.89593,65401060.54266259,43742,1085.869339,2021-07-13
13,32727.72,32818.32,1695.65143,55005172.78343821,41374,854.075332,2021-07-14
14,32814.57,31870.74,2195.833165,69987495.1850952,46881,1283.162491,2021-07-15
15,31872.07,31374.74,1843.897641,58495919.28858562,43934,937.432244,2021-07-16
16,31378.63,31509.98,1369.579999,43195628.15538067,34288,503.365858,2021-07-17
17,31519.62,31782.76,1428.174778,45314004.00391065,30625,526.293,2021-07-18
18,31786.78,30828.98,1935.711841,60112385.55411254,35453,739.554305,2021-07-19
19,30832.11,29793.63,2982.969645,88808864.57486092,45562,1511.197298,2021-07-20
20,29795.9,32128.31,3712.687393,116841242.55082545,59579,1772.270575,2021-07-21
21,32148.48,32288.94,2160.164618,69425725.46095881,35438,1034.973581,2021-07-22
22,32289.95,33636.26,2144.926074,69989670.1658138,42135,947.220608,2021-07-23
23,33652.22,34264.68,2469.018466,83715740.84094533,40767,1013.366473,2021-07-24
24,34275.19,35401.94,1727.279399,59467879.92423093,31864,805.649677,2021-07-25
25,35403.88,37248.41,7281.061858,278910615.572973,107301,3547.975993,2021-07-26
26,37250.03,39479.37,5201.987097,195967464.51557487,72932,2369.408594,2021-07-27
27,39469.3,40013.65,6663.970452,265947233.5816349,86353,3785.427502,2021-07-28
28,40028.89,40035.89,3481.872251,138999257.60724887,50016,1586.212137,2021-07-29
29,40033.89,42230.35,4310.914026,171249348.27940023,62674,2510.69061,2021-07-30
30,42225.61,41481.71,2153.959358,89810997.32033959,36222,985.831439,2021-07-31
31,41493.12,39856.79,2450.14526,100957068.86980098,44731,1101.934501,2021-08-01
32,39866.51,39150.89,2260.514767,89410786.84348324,39590,1144.197319,2021-08-02
33,39159.43,38202.95,2590.179306,99354374.7653386,41880,1302.388448,2021-08-03
34,38209.9,39734.78,2290.327755,88810466.75848466,47569,1080.773132,2021-08-04
35,39725.68,40882.95,3377.412442,132594958.53818326,75026,1638.868898,2021-08-05
36,40883.36,42874.98,3210.788191,133517459.61042944,66729,1544.849044,2021-08-06
37,42874.98,44600.86,3261.024914,142187148.61382285,60528,1485.917788,2021-08-07
38,44608.28,43835.04,2989.068905,132671172.43782216,53988,1518.397184,2021-08-08
39,43828.73,46267.01,3649.601154,164078845.82112277,62741,1824.451851,2021-08-09
40,46269.61,45598.01,2279.479893,103912138.7977436,46303,1099.997507,2021-08-10
41,45603.14,45532.33,2176.991137,100430895.45937032,54493,1112.430202,2021-08-11
42,45543.49,44433.43,2562.025665,114776330.29506126,54239,1278.502159,2021-08-12
43,44437.8,47831.83,2132.62233,99167634.82240808,50544,1112.208146,2021-08-13
44,47824.57,47092.92,2150.211364,101094188.79756498,52473,1002.291341,2021-08-14
45,47110.63,47003.87,1826.298057,84540663.56676905,44520,880.16971,2021-08-15
46,47013.5,45876.97,2167.450528,101503127.30018812,52843,1121.243797,2021-08-16
47,45906.48,44648.84,2288.389963,104816676.0157928,51968,1153.744192,2021-08-17
48,44701.83,44717.35,2282.195001,103062115.56190726,49703,1136.703323,2021-08-18
49,44731.72,46753.72,2377.183358,107737486.67862809,52709,1129.929356,2021-08-19
50,46758.32,49326.64,2518.777422,120461957.51594435,57757,1204.295954,2021-08-20
51,49347.44,48858.83,1708.863497,83841919.4241872,45057,880.358958,2021-08-21
52,48864.06,49276.5,1119.395483,54675995.1365894,32860,548.260488,2021-08-22
53,49276.5,49545.26,2109.418562,105410115.50105284,48068,1143.803097,2021-08-23
54,49508.47,47700.91,2248.857081,109484996.1383342,49061,1102.13511,2021-08-24
55,47688.01,48991.76,1868.964933,90048587.7765573,42415,848.934895,2021-08-25
56,48984.49,46863.0,1872.83558,88482920.42599408,39478,889.835199,2021-08-26
57,46855.79,49071.5,2115.202637,101172262.203119,44370,993.14968,2021-08-27
58,49090.48,48920.68,709.60507,34677605.1234281,19629,329.24688,2021-08-28
59,48927.61,48792.95,1181.513039,57525876.31030023,25733,490.248109,2021-08-29
60,48805.61,46995.47,1521.97002,73044189.7510992,35113,746.71578,2021-08-30
61,46996.65,47121.64,1775.38109,84070036.0984108,38180,869.94123,2021-08-31
